Update `mapids` set startX='32256', endX='32767', startY='32768', endY='33279' Where mapid='0';
Update `mapids` set startX='32576', endX='32831', startY='32704', endY='32959' Where mapid='1';
Update `mapids` set startX='32576', endX='32895', startY='32704', endY='32959' Where mapid='2';
Update `mapids` set startX='32576', endX='32831', startY='32704', endY='32959' Where mapid='3';
Update `mapids` set startX='32448', endX='34303', startY='32064', endY='33599' Where mapid='4';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='5';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32831' Where mapid='6';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='7';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='8';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='9';
Update `mapids` set startX='32640', endX='32831', startY='32640', endY='32895' Where mapid='10';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='11';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='12';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='13';
Update `mapids` set startX='32512', endX='33023', startY='32704', endY='32895' Where mapid='14';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='15';
Update `mapids` set startX='32704', endX='32831', startY='32704', endY='32895' Where mapid='16';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='17';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='18';
Update `mapids` set startX='32704', endX='32895', startY='32640', endY='32895' Where mapid='19';
Update `mapids` set startX='32704', endX='32831', startY='32704', endY='32831' Where mapid='20';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='21';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='22';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='23';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='24';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32831' Where mapid='25';
Update `mapids` set startX='32704', endX='32895', startY='32640', endY='32895' Where mapid='26';
Update `mapids` set startX='32640', endX='32895', startY='32704', endY='32895' Where mapid='27';
Update `mapids` set startX='32640', endX='32895', startY='32704', endY='32895' Where mapid='28';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='29';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='30';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='31';
Update `mapids` set startX='32576', endX='32831', startY='32704', endY='32959' Where mapid='32';
Update `mapids` set startX='32576', endX='32831', startY='32704', endY='32959' Where mapid='33';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='34';
Update `mapids` set startX='32576', endX='32831', startY='32704', endY='32959' Where mapid='35';
Update `mapids` set startX='32576', endX='32831', startY='32704', endY='32959' Where mapid='36';
Update `mapids` set startX='32576', endX='32831', startY='32704', endY='32959' Where mapid='37';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='38';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='39';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='40';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='41';
Update `mapids` set startX='32512', endX='32831', startY='32704', endY='33023' Where mapid='42';
Update `mapids` set startX='32704', endX='32831', startY='32704', endY='32831' Where mapid='43';
Update `mapids` set startX='32704', endX='32831', startY='32704', endY='32831' Where mapid='44';
Update `mapids` set startX='32704', endX='32831', startY='32704', endY='32831' Where mapid='45';
Update `mapids` set startX='32704', endX='32831', startY='32704', endY='32831' Where mapid='46';
Update `mapids` set startX='32704', endX='32831', startY='32704', endY='32831' Where mapid='47';
Update `mapids` set startX='32704', endX='32831', startY='32704', endY='32831' Where mapid='48';
Update `mapids` set startX='32704', endX='32831', startY='32704', endY='32831' Where mapid='49';
Update `mapids` set startX='32704', endX='32831', startY='32704', endY='32831' Where mapid='50';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='51';
Update `mapids` set startX='32640', endX='32767', startY='32768', endY='32895' Where mapid='52';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='53';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='54';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32959' Where mapid='55';
Update `mapids` set startX='32640', endX='32895', startY='32640', endY='32895' Where mapid='56';
Update `mapids` set startX='32576', endX='33023', startY='32512', endY='32959' Where mapid='57';
Update `mapids` set startX='32512', endX='32831', startY='32704', endY='33023' Where mapid='58';
Update `mapids` set startX='32640', endX='32831', startY='32768', endY='32895' Where mapid='59';
Update `mapids` set startX='32640', endX='32767', startY='32768', endY='32959' Where mapid='60';
Update `mapids` set startX='32640', endX='32767', startY='32768', endY='32895' Where mapid='61';
Update `mapids` set startX='32640', endX='32767', startY='32768', endY='32895' Where mapid='62';
Update `mapids` set startX='32576', endX='32895', startY='32640', endY='32959' Where mapid='63';
Update `mapids` set startX='32512', endX='32639', startY='32768', endY='32895' Where mapid='64';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='65';
Update `mapids` set startX='32704', endX='32895', startY='32768', endY='32959' Where mapid='66';
Update `mapids` set startX='32640', endX='32831', startY='32704', endY='32895' Where mapid='67';
Update `mapids` set startX='32576', endX='33023', startY='32512', endY='32959' Where mapid='68';
Update `mapids` set startX='32512', endX='32831', startY='32704', endY='33023' Where mapid='69';
Update `mapids` set startX='32576', endX='33023', startY='32640', endY='33087' Where mapid='70';
Update `mapids` set startX='32704', endX='32895', startY='32768', endY='32895' Where mapid='72';
Update `mapids` set startX='32704', endX='32959', startY='32704', endY='32959' Where mapid='73';
Update `mapids` set startX='32704', endX='32895', startY='32768', endY='32959' Where mapid='74';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32959' Where mapid='75';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='76';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='77';
Update `mapids` set startX='32832', endX='32959', startY='32704', endY='32831' Where mapid='78';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='79';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='80';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='81';
Update `mapids` set startX='32640', endX='32767', startY='32768', endY='32895' Where mapid='82';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32831' Where mapid='83';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='84';
Update `mapids` set startX='32512', endX='32831', startY='32640', endY='32959' Where mapid='85';
Update `mapids` set startX='32768', endX='33023', startY='32704', endY='32895' Where mapid='86';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='87';
Update `mapids` set startX='33472', endX='33599', startY='32640', endY='32767' Where mapid='88';
Update `mapids` set startX='32640', endX='32767', startY='32832', endY='32959' Where mapid='89';
Update `mapids` set startX='32640', endX='32767', startY='32832', endY='32959' Where mapid='90';
Update `mapids` set startX='32640', endX='32767', startY='32832', endY='32959' Where mapid='91';
Update `mapids` set startX='32640', endX='32767', startY='32832', endY='32959' Where mapid='92';
Update `mapids` set startX='32640', endX='32767', startY='32832', endY='32959' Where mapid='93';
Update `mapids` set startX='32640', endX='32767', startY='32832', endY='32959' Where mapid='94';
Update `mapids` set startX='32640', endX='32767', startY='32832', endY='32959' Where mapid='95';
Update `mapids` set startX='32640', endX='32767', startY='32832', endY='32959' Where mapid='96';
Update `mapids` set startX='32640', endX='32767', startY='32832', endY='32959' Where mapid='97';
Update `mapids` set startX='32640', endX='32767', startY='32832', endY='32959' Where mapid='98';
Update `mapids` set startX='32704', endX='32767', startY='32768', endY='32831' Where mapid='99';
Update `mapids` set startX='32704', endX='32831', startY='32768', endY='32895' Where mapid='100';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='101';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='102';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='103';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='104';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='105';
Update `mapids` set startX='32576', endX='33855', startY='32768', endY='32959' Where mapid='106';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='107';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='108';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='109';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='110';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='111';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='112';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='113';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='114';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='115';
Update `mapids` set startX='32704', endX='32831', startY='32832', endY='32895' Where mapid='116';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='117';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='118';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='119';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='120';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='121';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='122';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='123';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='124';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='125';
Update `mapids` set startX='32704', endX='32831', startY='32832', endY='32895' Where mapid='126';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='127';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='128';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='129';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='130';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='131';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='132';
Update `mapids` set startX='32704', endX='32895', startY='32704', endY='32895' Where mapid='133';
Update `mapids` set startX='32576', endX='32767', startY='32768', endY='32959' Where mapid='134';
